TipoOperacion;Comercial/Financiero;Detalle;Periodo;Monto
Egresos;Comerciales;Comisiones Fza de Venta Nación Servicios;202408;0
Egresos;Comerciales;Comisiones Fza de Venta Nación Servicios;202409;0
Egresos;Comerciales;Costo Operativo;202404;1939670745
Egresos;Comerciales;Costo Operativo;202405;2086677090
Egresos;Comerciales;Costo Operativo;202406;2213315641
Egresos;Comerciales;Costo Operativo;202407;2213468058
Egresos;Comerciales;Costo Operativo;202408;2309735118
Egresos;Comerciales;Costo Operativo;202409;2424090455
Egresos;Comerciales;Unidad Medios de Pagos Zonales;202404;302261819,4
Egresos;Comerciales;Unidad Medios de Pagos Zonales;202405;314902451,7
Egresos;Comerciales;Unidad Medios de Pagos Zonales;202406;329296311,8
Egresos;Comerciales;Unidad Medios de Pagos Zonales;202407;342735996,6
Egresos;Comerciales;Unidad Medios de Pagos Zonales;202408;356855001,3
Egresos;Comerciales;Unidad Medios de Pagos Zonales;202409;373067449,2
Egresos;Comerciales;Gastos de Distribución;202404;234605793,1
Egresos;Comerciales;Gastos de Distribución;202405;311981259,4
Egresos;Comerciales;Gastos de Distribución;202406;324346900,3
Egresos;Comerciales;Gastos de Distribución;202407;428473586,6
Egresos;Comerciales;Gastos de Distribución;202408;403430177,8
Egresos;Comerciales;Gastos de Distribución;202409;549888701,9
Egresos;Comerciales;Merchandising;202404;0
Egresos;Comerciales;Merchandising;202405;0
Egresos;Comerciales;Merchandising;202406;0
Egresos;Comerciales;Merchandising;202407;0
Egresos;Comerciales;Merchandising;202408;0
Egresos;Comerciales;Merchandising;202409;0
Egresos;Comerciales;Programa de Fidelizacion;202404;334257760,2
Egresos;Comerciales;Programa de Fidelizacion;202405;412148588,3
Egresos;Comerciales;Programa de Fidelizacion;202406;275992213,9
Egresos;Comerciales;Programa de Fidelizacion;202407;499745411,9
Egresos;Comerciales;Programa de Fidelizacion;202408;391359190,6
Egresos;Comerciales;Programa de Fidelizacion;202409;340663217,3
Egresos;Comerciales;AAP;202404;1044303186
Egresos;Comerciales;AAP;202405;1230066792
Egresos;Comerciales;AAP;202406;1166083936
Egresos;Comerciales;AAP;202407;1234977353
Egresos;Comerciales;AAP;202408;1582042251
Egresos;Comerciales;AAP;202409;1425058242
Egresos;Comerciales;Promo;202404;3205865846
Egresos;Comerciales;Promo;202405;1648524232
Egresos;Comerciales;Promo;202406;1766371530
Egresos;Comerciales;Promo;202407;1380183079
Egresos;Comerciales;Promo;202408;1903870776
Egresos;Comerciales;Promo;202409;3280129337
Egresos;Comerciales;SD;202404;106102770
Egresos;Comerciales;SD;202405;118725086
Egresos;Comerciales;SD;202406;163577440,2
Egresos;Comerciales;SD;202407;162237459
Egresos;Comerciales;SD;202408;182913620
Egresos;Comerciales;SD;202409;248160035,7
Egresos;Comerciales;Fraude;202404;94877792,78
Egresos;Comerciales;Fraude;202405;74438172,98
Egresos;Comerciales;Fraude;202406;58769588,71
Egresos;Comerciales;Fraude;202407;38671853,51
Egresos;Comerciales;Fraude;202408;31878537,86
Egresos;Comerciales;Fraude;202409;46398708,13
Egresos;Financieros;Costo Financiero de compras (mes);202404;6376727947
Egresos;Financieros;Costo Financiero de compras (mes);202405;5296859133
Egresos;Financieros;Costo Financiero de compras (mes);202406;4318292518
Egresos;Financieros;Costo Financiero de compras (mes);202407;4384724615
Egresos;Financieros;Costo Financiero de compras (mes);202408;4224242884
Egresos;Financieros;Costo Financiero de compras (mes);202409;4883976442
Egresos;Financieros;Costo Financiero (sobre saldo financiado);202404;2231896722
Egresos;Financieros;Costo Financiero (sobre saldo financiado);202405;1957259458
Egresos;Financieros;Costo Financiero (sobre saldo financiado);202406;1524851581
Egresos;Financieros;Costo Financiero (sobre saldo financiado);202407;1224151464
Egresos;Financieros;Costo Financiero (sobre saldo financiado);202408;1607065321
Egresos;Financieros;Costo Financiero (sobre saldo financiado);202409;1557243704
Egresos;Financieros;Costo Financiero / cuotas pendientes;202404;5899474078
Egresos;Financieros;Costo Financiero / cuotas pendientes;202405;5197671289
Egresos;Financieros;Costo Financiero / cuotas pendientes;202406;4029990114
Egresos;Financieros;Costo Financiero / cuotas pendientes;202407;5697181580
Egresos;Financieros;Costo Financiero / cuotas pendientes;202408;6053247161
Egresos;Financieros;Costo Financiero / cuotas pendientes;202409;6816804418
Egresos;Financieros;Efecto reduccion de encajes Programa Ahora 12;202404;-899375109,5
Egresos;Financieros;Efecto reduccion de encajes Programa Ahora 12;202405;-547085739,8
Egresos;Financieros;Efecto reduccion de encajes Programa Ahora 12;202406;-327734788,1
Egresos;Financieros;Efecto reduccion de encajes Programa Ahora 12;202407;-206599808,2
Egresos;Financieros;Efecto reduccion de encajes Programa Ahora 12;202408;-124238285,2
Egresos;Financieros;Efecto reduccion de encajes Programa Ahora 12;202409;-67744213,72
